id,N_peaks,env_peak1_pos,env_peak2_pos,env_peak3_pos,env_peak1_val,env_peak2_val,env_peak3_val,peak1_pos,peak2_pos,peak3_pos,peak1_val,peak2_val,peak3_val,duration,silent_phase,silent_rateo,atrial_ventricular_ratio,atrial_ventricular_time_ratio,third_major_ratio,third_second_ratio,n_peaks_duration_rateo,class
6,2,0.46929,0.314,,0.27721,0.096077,,0.47273,0.30958,,0.395,0.144,,0.15577,0.020639,0.13249,0.36456,0.65489,,,12.8391,MAP_A
6,3,0.46781,0.31057,0.20934,0.31026,0.036719,0.0055112,0.47027,0.30418,0.20934,0.459,0.056,0.009,0.25897,0.051106,0.19734,0.019608,0.44514,0.019608,0.16071,11.5844,MAP_A
6,2,0.46732,0.31843,,0.39144,0.029442,,0.47076,0.30221,,0.578,0.045,,0.14939,0.028993,0.19408,0.077855,0.64196,,,13.3882,MAP_A
6,3,0.47469,0.31351,0.21179,0.22267,0.097834,0.0032341,0.47224,0.30909,0.22506,0.303,0.141,0.007,0.26339,0.027027,0.10261,0.023102,0.47659,0.023102,0.049645,11.3899,MAP_A
6,3,0.47568,0.3145,0.17789,0.21047,0.11395,0.0038901,0.47273,0.30958,0.1774,0.285,0.166,0.005,0.29828,0.02801,0.093904,0.017544,0.37526,0.017544,0.03012,10.0577,MAP_A
6,3,0.47371,0.31351,0.20688,0.23021,0.042264,0.0043424,0.47224,0.3086,0.2172,0.332,0.061,0.006,0.26732,0.039312,0.14706,0.018072,0.45994,0.018072,0.098361,11.2224,MAP_A
6,3,0.47322,0.31106,0.18919,0.2697,0.037151,0.0044097,0.47174,0.30467,0.1828,0.388,0.051,0.007,0.28452,0.064373,0.22625,0.018041,0.3875,0.018041,0.13725,10.544,MAP_A
6,2,0.47568,0.31351,,0.18936,0.089994,,0.47273,0.3086,,0.251,0.12,,0.16265,0.018182,0.11178,0.47809,0.65281,,,12.2961,MAP_A
6,3,0.47666,0.3145,0.21179,0.16692,0.15234,0.0035159,0.30958,0.47322,0.21278,0.22,0.206,0.007,0.26536,0.01769,0.066667,0.033981,0.44964,0.031818,0.033981,11.3056,MAP_A
6,3,0.47469,0.314,0.22162,0.17743,0.044268,0.0051862,0.47273,0.3086,0.18477,0.25,0.062,0.01,0.25356,0.025553,0.10078,0.04,0.39085,0.04,0.16129,11.8314,MAP_A
6,2,0.47617,0.31302,,0.15502,0.09118,,0.47273,0.30811,,0.198,0.142,,0.16364,0.015725,0.096096,0.71717,0.65177,,,12.2222,MAP_A
6,2,0.46781,0.31744,,0.40845,0.02143,,0.47076,0.30319,,0.594,0.033,,0.15086,0.02801,0.18567,0.055556,0.64405,,,13.2573,MAP_A
6,2,0.46732,0.30909,,0.49381,0.038849,,0.47174,0.30467,,0.653,0.06,,0.15872,0.030467,0.19195,0.091884,0.64583,,,12.6006,MAP_A
6,3,0.46781,0.31892,0.21376,0.46868,0.026415,0.0044321,0.47125,0.30467,0.21032,0.676,0.035,0.008,0.25455,0.047174,0.18533,0.011834,0.4463,0.011834,0.22857,11.7857,MAP_A
6,3,0.46929,0.31155,0.18428,0.30469,0.045255,0.0043374,0.47224,0.30811,0.18428,0.427,0.063,0.005,0.2855,0.056511,0.19793,0.01171,0.39022,0.01171,0.079365,10.5077,MAP_A
6,2,0.47322,0.31253,,0.22781,0.042455,,0.47125,0.30713,,0.329,0.058,,0.16118,0.02801,0.17378,0.17629,0.65172,,,12.4085,MAP_A
6,3,0.47469,0.31302,0.21966,0.1586,0.083532,0.0030312,0.47224,0.30958,0.21818,0.213,0.115,0.005,0.25553,0.025553,0.1,0.023474,0.46202,0.023474,0.043478,11.7404,MAP_A
6,3,0.47469,0.314,0.18182,0.19103,0.034692,0.0042629,0.47273,0.3086,0.1887,0.274,0.05,0.008,0.29337,0.043243,0.1474,0.029197,0.39917,0.029197,0.16,10.2261,MAP_A
6,3,0.47469,0.31302,0.19754,0.19852,0.072686,0.0066889,0.47322,0.30811,0.18821,0.277,0.1,0.007,0.27764,0.034889,0.12566,0.025271,0.39772,0.025271,0.07,10.8053,MAP_A
