Var1,Var2,Var3
rov trace:,NaN,NaN
,0.019,0.015
,0.02,0.012
,0.019,0.009
,0.017,0.006
,0.015,0.005
,0.014,0.005
,0.015,0.005
,0.018,0.004
,0.022,0.001
,0.026,-0.003
,0.03,-0.005
,0.031,-0.006
,0.03,-0.005
,0.028,-0.005
,0.026,-0.006
,0.025,-0.01
,0.023,-0.015
,0.021,-0.02
,0.018,-0.025
,0.014,-0.028
,0.011,-0.029
,0.007,-0.028
,0.004,-0.027
,0.001,-0.027
,-0.002,-0.029
,-0.004,-0.032
,-0.006,-0.035
,-0.007,-0.036
,-0.009,-0.036
,-0.011,-0.035
,-0.013,-0.032
,-0.016,-0.03
,-0.018,-0.029
,-0.018,-0.029
,-0.017,-0.028
,-0.016,-0.024
,-0.016,-0.018
,-0.015,-0.011
,-0.013,-0.004
,-0.009,0
,-0.005,0.002
,-0.001,0
,0.002,-0.002
,0.003,-0.004
,0.003,-0.005
,0.002,-0.005
,0.001,-0.004
,-0.001,-0.002
,-0.003,-0.001
,-0.004,0
,-0.004,0
,-0.002,-0.001
,0.001,-0.003
,0.004,-0.003
,0.004,-0.002
,0.002,0
,0,0.003
,-0.002,0.005
,-0.001,0.005
,0.003,0.004
,0.006,0.002
,0.01,0.001
,0.012,0
,0.014,0.001
,0.015,0.001
,0.015,0.001
,0.012,0.002
,0.006,0.003
,0.001,0.005
,-0.002,0.009
,-0.002,0.011
,0,0.013
,0.001,0.013
,0.001,0.014
,0.001,0.015
,0.002,0.017
,0.004,0.019
,0.007,0.02
,0.009,0.02
,0.009,0.018
,0.008,0.015
,0.006,0.012
,0.005,0.009
,0.004,0.005
,0.003,0.003
,0.002,0.001
,0.001,0.001
,-0.001,0.001
,-0.001,0
,0.001,-0.001
,0.003,-0.002
,0.005,-0.002
,0.005,0
,0.003,0.002
,-0.001,0.002
,-0.003,0
,-0.004,-0.004
,-0.003,-0.008
,-0.001,-0.011
,0.003,-0.011
,0.005,-0.01
,0.005,-0.01
,0.003,-0.011
,-0.001,-0.013
,-0.006,-0.014
,-0.011,-0.014
,-0.013,-0.012
,-0.013,-0.01
,-0.011,-0.007
,-0.008,-0.006
,-0.006,-0.005
,-0.006,-0.004
,-0.006,-0.002
,-0.004,-0.001
,-0.001,0.001
,0.003,0.001
,0.006,0.002
,0.007,0.002
,0.006,0.004
,0.004,0.006
,0.003,0.006
,0.002,0.005
,0.002,0.002
,0.001,-0.002
,0,-0.005
,-0.001,-0.006
,-0.002,-0.006
,-0.001,-0.005
,0,-0.005
,0.002,-0.004
,0.004,-0.003
,0.004,-0.002
,0.003,0.001
,0.001,0.003
,-0.002,0.004
,-0.004,0.004
,-0.005,0.004
,-0.006,0.003
,-0.005,0.003
,-0.004,0.001
,-0.003,0
,-0.002,-0.001
,-0.001,-0.002
,0.001,-0.002
,0.004,-0.002
,0.006,-0.002
,0.006,-0.001
,0.005,-0.001
,0,-0.001
,-0.004,-0.002
,-0.008,-0.002
,-0.008,-0.002
,-0.006,-0.002
,-0.001,-0.001
,0.002,0.002
,0.003,0.004
,0.002,0.007
,-0.001,0.008
,-0.004,0.008
,-0.005,0.008
,-0.003,0.007
,0,0.007
,0.004,0.007
,0.006,0.006
,0.006,0.006
,0.004,0.004
,0.001,0.001
,0,-0.003
,0,-0.006
,0.003,-0.009
,0.006,-0.009
,0.007,-0.007
,0.006,-0.004
,0.002,0
,-0.001,0.001
,-0.002,0.001
,-0.002,0
,0.001,-0.002
,0.002,-0.004
,0.003,-0.005
,0.001,-0.007
,-0.001,-0.007
,-0.001,-0.007
,0,-0.006
,0.001,-0.005
,0.002,-0.004
,0.001,-0.004
,-0.001,-0.005
,-0.003,-0.005
,-0.004,-0.005
,-0.004,-0.004
,-0.004,-0.002
,-0.004,0
,-0.004,0.003
,-0.005,0.006
,-0.004,0.009
,-0.001,0.012
,0.002,0.013
,0.005,0.014
,0.005,0.013
,0.003,0.012
,-0.003,0.01
,-0.009,0.008
,-0.013,0.006
,-0.013,0.003
,-0.009,0.001
,-0.003,-0.001
,0.003,-0.003
,0.005,-0.003
,0.005,-0.002
,0.003,0
,0,0.001
,-0.003,0.001
,-0.003,0
,-0.002,-0.002
,0.001,-0.004
,0.004,-0.004
,0.006,-0.004
,0.006,-0.003
,0.006,-0.003
,0.005,-0.002
,0.004,-0.003
,0.002,-0.004
,0.001,-0.005
,0,-0.006
,-0.001,-0.007
,0,-0.008
,0,-0.007
,0.001,-0.007
,0.002,-0.005
,0.002,-0.003
,0.001,-0.001
,-0.001,0
,-0.002,0
,-0.003,-0.001
,-0.002,-0.001
,-0.001,0.001
,0,0.003
,0,0.005
,-0.001,0.007
,-0.003,0.008
,-0.004,0.009
,-0.003,0.008
,-0.001,0.007
,0.002,0.007
,0.004,0.008
,0.004,0.008
,0.004,0.008
,0.005,0.007
,0.005,0.005
,0.006,0.002
,0.004,0.001
,0.002,0.001
,-0.001,0
,-0.002,-0.002
,-0.002,-0.004
,0,-0.006
,0.001,-0.007
,0.002,-0.006
,0.002,-0.004
,0.002,-0.002
,0.003,0
,0.004,0.002
,0.004,0.002
,0.003,0.001
,0,0
,-0.003,-0.002
,-0.006,-0.004
,-0.007,-0.006
,-0.007,-0.008
,-0.006,-0.008
,-0.007,-0.009
,-0.007,-0.008
,-0.008,-0.007
,-0.008,-0.005
,-0.007,-0.001
,-0.005,0.005
,-0.005,0.012
,-0.005,0.02
,-0.006,0.027
,-0.005,0.032
,-0.001,0.031
,0.004,0.022
,0.01,0.003
,0.013,-0.024
,0.015,-0.053
,0.017,-0.076
,0.022,-0.083
,0.032,-0.072
,0.044,-0.046
,0.055,-0.016
,0.062,0.007
,0.059,0.017
,0.045,0.017
,0.021,0.013
,-0.009,0.013
,-0.04,0.016
,-0.066,0.022
,-0.083,0.025
,-0.091,0.025
,-0.092,0.021
,-0.088,0.016
,-0.081,0.012
,-0.069,0.011
,-0.052,0.012
,-0.031,0.015
,-0.01,0.017
,0.006,0.017
,0.015,0.015
,0.017,0.012
,0.017,0.009
,0.018,0.007
,0.022,0.008
,0.027,0.011
,0.032,0.013
,0.034,0.013
,0.033,0.012
,0.03,0.01
,0.028,0.007
,0.027,0.005
,0.026,0.003
,0.025,0
,0.022,-0.003
,0.019,-0.006
,0.015,-0.008
,0.012,-0.006
,0.009,-0.003
,0.007,0
,0.005,0.001
,0.003,0
,0.001,-0.004
,-0.001,-0.009
,-0.004,-0.011
,-0.004,-0.01
,-0.003,-0.007
,0,-0.005
,0.002,-0.006
,0.003,-0.008
,0.003,-0.01
