Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.003,-0.004,-0.004,-0.014,-0.009,0.017,-0.038,0.003,-0.001
,0.005,-0.007,-0.005,-0.011,-0.003,0.017,-0.024,0.005,0.001
,0.008,-0.009,-0.005,-0.008,0.001,0.017,-0.01,0.008,0.003
,0.009,-0.01,-0.004,-0.005,0.003,0.016,0.002,0.009,0.006
,0.01,-0.011,-0.003,-0.002,0.003,0.014,0.009,0.01,0.008
,0.011,-0.012,-0.002,0,0.002,0.013,0.012,0.011,0.009
,0.013,-0.013,-0.001,0.001,0.001,0.011,0.014,0.013,0.009
,0.014,-0.013,-0.001,0,0.003,0.008,0.015,0.014,0.008
,0.016,-0.013,0,-0.002,0.007,0.006,0.017,0.016,0.006
,0.016,-0.011,0,-0.004,0.012,0.003,0.022,0.016,0.006
,0.016,-0.008,0,-0.004,0.016,0,0.028,0.016,0.007
,0.014,-0.005,0,-0.003,0.019,-0.002,0.034,0.014,0.009
,0.009,-0.004,0.001,-0.001,0.02,-0.005,0.039,0.009,0.011
,0.003,-0.004,0.003,0.002,0.02,-0.007,0.043,0.003,0.013
,-0.003,-0.006,0.004,0.004,0.021,-0.009,0.047,-0.003,0.013
,-0.007,-0.006,0.005,0.006,0.022,-0.01,0.051,-0.007,0.013
,-0.009,-0.005,0.005,0.007,0.023,-0.01,0.055,-0.009,0.011
,-0.009,-0.003,0.004,0.007,0.023,-0.011,0.057,-0.009,0.009
,-0.007,0,0.001,0.009,0.022,-0.011,0.056,-0.007,0.007
,-0.006,0.002,-0.001,0.01,0.019,-0.013,0.053,-0.006,0.006
,-0.006,0.002,-0.003,0.012,0.015,-0.015,0.05,-0.006,0.005
,-0.006,0.001,-0.004,0.013,0.011,-0.017,0.049,-0.006,0.004
,-0.007,0,-0.003,0.012,0.008,-0.018,0.048,-0.007,0.002
,-0.007,0,0,0.009,0.006,-0.017,0.047,-0.007,-0.001
,-0.005,0.003,0.004,0.005,0.006,-0.014,0.044,-0.005,-0.005
,-0.003,0.006,0.008,0.002,0.006,-0.011,0.04,-0.003,-0.009
,-0.001,0.008,0.01,0,0.005,-0.009,0.036,-0.001,-0.011
,-0.001,0.008,0.01,0.001,0.002,-0.008,0.033,-0.001,-0.013
,-0.002,0.006,0.008,0.003,-0.002,-0.008,0.03,-0.002,-0.013
,-0.003,0.004,0.005,0.005,-0.008,-0.006,0.027,-0.003,-0.012
,-0.002,0.003,0.003,0.004,-0.013,-0.004,0.025,-0.002,-0.011
,0,0.004,0.001,0.001,-0.018,-0.001,0.023,0,-0.01
,0.002,0.006,0.001,-0.003,-0.021,0.003,0.021,0.002,-0.009
,0.002,0.008,0.001,-0.007,-0.022,0.007,0.021,0.002,-0.007
,0,0.008,0,-0.01,-0.021,0.011,0.022,0,-0.006
,-0.003,0.006,-0.001,-0.01,-0.02,0.013,0.023,-0.003,-0.006
,-0.006,0.003,-0.003,-0.008,-0.02,0.015,0.025,-0.006,-0.007
,-0.006,0,-0.004,-0.007,-0.02,0.017,0.025,-0.006,-0.007
,-0.002,-0.002,-0.004,-0.007,-0.022,0.018,0.025,-0.002,-0.006
,0.002,-0.004,-0.003,-0.01,-0.024,0.018,0.025,0.002,-0.003
,0.006,-0.005,-0.001,-0.012,-0.024,0.018,0.027,0.006,0
,0.008,-0.006,0.001,-0.013,-0.021,0.018,0.03,0.008,0.004
,0.009,-0.005,0.002,-0.011,-0.016,0.018,0.032,0.009,0.005
,0.009,-0.004,0.001,-0.007,-0.011,0.019,0.034,0.009,0.005
,0.01,-0.002,-0.001,-0.003,-0.005,0.019,0.033,0.01,0.004
,0.012,-0.003,-0.001,-0.002,-0.001,0.019,0.03,0.012,0.003
,0.013,-0.004,-0.001,-0.002,0.003,0.017,0.028,0.013,0.004
,0.013,-0.005,0,-0.003,0.006,0.013,0.026,0.013,0.005
,0.01,-0.005,0.001,-0.003,0.009,0.009,0.026,0.01,0.007
,0.006,-0.004,-0.001,-0.001,0.012,0.004,0.026,0.006,0.008
,0.002,-0.002,-0.002,0.003,0.014,0,0.026,0.002,0.008
,-0.001,-0.001,-0.003,0.007,0.017,-0.003,0.024,-0.001,0.007
,-0.002,-0.002,-0.004,0.008,0.019,-0.006,0.022,-0.002,0.006
,-0.003,-0.003,-0.003,0.007,0.021,-0.01,0.02,-0.003,0.004
,-0.004,-0.005,-0.002,0.004,0.022,-0.014,0.02,-0.004,0.003
,-0.005,-0.004,-0.001,0.001,0.022,-0.019,0.022,-0.005,0.003
